iy	id	it	imin	Tiair	Tsurf	Troof	Troad	Twall	Twall_n	Twall_e	Twall_s	Twall_w				
2004	43	10	10	20	-1.404	-1.404	-1.404	-1.404	-1.404	-1.404	-1.404	-1.404				
2004	43	10	20	20	-1.296	-1.296	-1.296	-1.296	-1.296	-1.296	-1.296	-1.296				
2004	43	10	30	20	-1.214	-1.214	-1.214	-1.214	-1.214	-1.214	-1.214	-1.214				
2004	43	10	40	20	-1.113	-1.113	-1.113	-1.113	-1.113	-1.113	-1.113	-1.113				
2004	43	10	50	20	-1.054	-1.054	-1.054	-1.054	-1.054	-1.054	-1.054	-1.054				
2004	43	11	0	20	-1.006	-1.006	-1.006	-1.006	-1.006	-1.006	-1.006	-1.006				
2004	43	11	10	20	-0.953	-0.953	-0.953	-0.953	-0.953	-0.953	-0.953	-0.953				
2004	43	11	20	20	-0.909	-0.909	-0.909	-0.909	-0.909	-0.909	-0.909	-0.909				
2004	43	11	30	20	-0.76	-0.76	-0.76	-0.76	-0.76	-0.76	-0.76	-0.76				
2004	43	11	40	20	-0.672	-0.672	-0.672	-0.672	-0.672	-0.672	-0.672	-0.672				
2004	43	11	50	20	-0.639	-0.639	-0.639	-0.639	-0.639	-0.639	-0.639	-0.639				
2004	43	12	0	20	-0.606	-0.606	-0.606	-0.606	-0.606	-0.606	-0.606	-0.606				
2004	43	12	10	20	-0.587	-0.587	-0.587	-0.587	-0.587	-0.587	-0.587	-0.587				
2004	43	12	20	20	-0.556	-0.556	-0.556	-0.556	-0.556	-0.556	-0.556	-0.556				
2004	43	12	30	20	-0.53	-0.53	-0.53	-0.53	-0.53	-0.53	-0.53	-0.53				
2004	43	12	40	20	-0.475	-0.475	-0.475	-0.475	-0.475	-0.475	-0.475	-0.475				
2004	43	12	50	20	-0.453	-0.453	-0.453	-0.453	-0.453	-0.453	-0.453	-0.453				
2004	43	13	0	20	-0.461	-0.461	-0.461	-0.461	-0.461	-0.461	-0.461	-0.461				
2004	43	13	10	20	-0.44	-0.44	-0.44	-0.44	-0.44	-0.44	-0.44	-0.44				
2004	43	13	20	20	-0.433	-0.433	-0.433	-0.433	-0.433	-0.433	-0.433	-0.433				
2004	43	13	30	20	-0.404	-0.404	-0.404	-0.404	-0.404	-0.404	-0.404	-0.404				
2004	43	13	40	20	-0.386	-0.386	-0.386	-0.386	-0.386	-0.386	-0.386	-0.386				
2004	43	13	50	20	-0.377	-0.377	-0.377	-0.377	-0.377	-0.377	-0.377	-0.377				
