%iy  id  it imin Q*      QH      QE      Qs      Qf      Wind  RH    Td    press  rain Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2004 44  7  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.80  99.40 1.20  102.26 0.00 11.10  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  8  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.30  99.40 1.00  102.27 0.00 37.10  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  9  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.50  99.40 1.10  102.28 0.00 68.40  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  10 0    -999.00 -999.00 -999.00 -999.00 -999.00 1.40  99.40 1.20  102.31 0.00 84.40  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  11 0    -999.00 -999.00 -999.00 -999.00 -999.00 2.20  99.40 1.10  102.31 0.00 82.40  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  12 0    -999.00 -999.00 -999.00 -999.00 -999.00 2.00  99.40 0.90  102.27 0.00 69.70  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  13 0    -999.00 -999.00 -999.00 -999.00 -999.00 2.30  99.40 0.80  102.26 0.00 54.60  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  14 0    -999.00 -999.00 -999.00 -999.00 -999.00 2.20  99.40 1.10  102.25 0.00 20.00  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  15 0    -999.00 -999.00 -999.00 -999.00 -999.00 2.50  99.40 1.10  102.23 0.00 6.80   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  16 0    -999.00 -999.00 -999.00 -999.00 -999.00 1.90  99.40 0.60  102.20 0.00 0.30   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  17 0    -999.00 -999.00 -999.00 -999.00 -999.00 3.10  99.40 0.30  102.21 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  18 0    -999.00 -999.00 -999.00 -999.00 -999.00 3.20  99.40 0.20  102.21 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  19 0    -999.00 -999.00 -999.00 -999.00 -999.00 3.70  99.40 -0.30 102.19 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  20 0    -999.00 -999.00 -999.00 -999.00 -999.00 2.90  99.40 -0.30 102.17 0.10 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  21 0    -999.00 -999.00 -999.00 -999.00 -999.00 1.90  99.40 0.30  102.15 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  22 0    -999.00 -999.00 -999.00 -999.00 -999.00 1.40  99.50 0.70  102.13 0.10 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 44  23 0    -999.00 -999.00 -999.00 -999.00 -999.00 1.10  99.50 1.10  102.09 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  0  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.30  99.50 1.20  102.08 0.10 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  1  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.20  99.50 1.20  102.07 0.10 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  2  0    -999.00 -999.00 -999.00 -999.00 -999.00 0.90  99.50 1.20  102.04 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  3  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.40  99.50 1.20  102.03 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  4  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.30  99.50 1.00  102.00 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  5  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.60  99.50 0.00  102.01 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  6  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.60  99.50 -0.30 102.01 0.00 0.80   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  7  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.40  99.50 -0.90 102.03 0.00 23.10  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  8  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.50  99.50 -0.90 102.05 0.00 61.50  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  9  0    -999.00 -999.00 -999.00 -999.00 -999.00 1.60  99.50 -0.60 102.05 0.00 105.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  10 0    -999.00 -999.00 -999.00 -999.00 -999.00 1.60  99.50 0.40  102.04 0.00 255.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  11 0    -999.00 -999.00 -999.00 -999.00 -999.00 1.90  99.50 1.20  102.01 0.00 260.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  12 0    -999.00 -999.00 -999.00 -999.00 -999.00 2.10  99.40 1.40  101.99 0.00 260.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  13 0    -999.00 -999.00 -999.00 -999.00 -999.00 2.00  98.10 1.60  101.97 0.00 167.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  14 0    -999.00 -999.00 -999.00 -999.00 -999.00 1.70  97.70 1.10  101.97 0.00 66.40  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  15 0    -999.00 -999.00 -999.00 -999.00 -999.00 1.60  98.40 0.90  101.97 0.00 17.20  -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  16 0    -999.00 -999.00 -999.00 -999.00 -999.00 1.10  98.90 0.20  101.99 0.00 0.80   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  17 0    -999.00 -999.00 -999.00 -999.00 -999.00 0.70  99.30 -0.60 101.99 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2004 45  18 0    -999.00 -999.00 -999.00 -999.00 -999.00 0.70  99.30 -1.00 102.01 0.00 0.00   -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
