Year  DOY Hour  Min  Dectime     Kdown       Kup     Ldown       Lup     Tsurf        QN        QF        QS        QH        QE       Rain        Irr       Evap         RO      TotCh     SurfCh      State  NWtrState   Drainage       SMD    Zenith   Azimuth   AlbBulk      Fcld       LAI     ustar        Lob        Fc        T2        Q2       U10
2012  362    0    5 362.0035    0.0000    0.0000  308.7684  353.9505    8.5500  -45.1822   48.1845  -51.1051   42.1020   12.0053   0.000000   0.000000   0.001449   0.000000  -0.001449  -0.001420  2799.9986   0.000000   0.000000   30.0000  152.1253  359.0952    0.1304    0.4326    0.0680    0.7024  -691.9487   21.3286    7.4042    6.9149    2.9761
2012  362    0   10 362.0069    0.0000    0.0000  308.7443  353.8542    8.5300  -45.1099   47.3240  -51.0699   41.4014   11.8826   0.000000   0.000000   0.001434   0.000000  -0.001434  -0.001406  2799.9972   0.000000   0.000000   30.0001  152.1208    1.5429    0.1304    0.4333    0.0680    0.6993  -694.0144   20.9607    7.3998    6.9057    2.9632
2012  362    0   15 362.0104    0.0000    0.0000  308.7309  353.7585    8.5100  -45.0276   46.4636  -51.0299   40.7081   11.7578   0.000000   0.000000   0.001419   0.000000  -0.001419  -0.001391  2799.9958   0.000000   0.000000   30.0001  152.0832    3.9877    0.1304    0.4342    0.0680    0.6962  -696.1552   20.5928    7.3953    6.8966    2.9503
2012  362    0   20 362.0139    0.0000    0.0000  308.7068  353.6622    8.4900  -44.9554   45.6032  -50.9947   40.0153   11.6272   0.000000   0.000000   0.001403   0.000000  -0.001403  -0.001375  2799.9944   0.000000   0.000000   30.0001  152.0126    6.4247    0.1304    0.4349    0.0680    0.6918  -694.5029   20.2248    7.3895    6.8875    2.9312
2012  362    0   25 362.0174    0.0000    0.0000  308.6935  353.5666    8.4700  -44.8731   44.7427  -50.9547   39.3216   11.5028   0.000000   0.000000   0.001388   0.000000  -0.001388  -0.001360  2799.9930   0.000000   0.000000   30.0002  151.9091    8.8495    0.1304    0.4358    0.0680    0.6886  -696.9067   19.8569    7.3852    6.8784    2.9183
2012  362    0   30 362.0208    0.0000    0.0000  308.6694  353.4703    8.4500  -44.8009   43.8823  -50.9196   38.6202   11.3808   0.000000   0.000000   0.001374   0.000000  -0.001374  -0.001346  2799.9917   0.000000   0.000000   30.0002  151.7733   11.2575    0.1304    0.4366    0.0680    0.6855  -699.5355   19.4890    7.3812    6.8693    2.9053
2012  362    0   35 362.0243    0.0000    0.0000  308.6130  353.3720    8.4300  -44.7590   43.0218  -50.8992   37.8882   11.2739   0.000000   0.000000   0.001361   0.000000  -0.001361  -0.001333  2799.9904   0.000000   0.000000   30.0002  151.6056   13.6448    0.1304    0.4370    0.0680    0.6837  -706.6482   19.1210    7.3796    6.8602    2.8984
2012  362    0   40 362.0278    0.0000    0.0000  308.5739  353.3221    8.4200  -44.7482   42.1614  -50.8940   37.1108   11.1964   0.000000   0.000000   0.001351   0.000000  -0.001351  -0.001324  2799.9890   0.000000   0.000000   30.0003  151.4065   16.0073    0.1304    0.4371    0.0680    0.6845  -722.6710   18.7532    7.3919    6.8558    2.9036
2012  362    0   45 362.0312    0.0000    0.0000  308.5349  353.2722    8.4100  -44.7373   41.3010  -50.8887   36.3334   11.1189   0.000000   0.000000   0.001342   0.000000  -0.001342  -0.001315  2799.9877   0.000000   0.000000   30.0003  151.1768   18.3414    0.1304    0.4372    0.0680    0.6853  -739.3166   18.3853    7.4043    6.8515    2.9088
2012  362    0   50 362.0347    0.0000    0.0000  308.4354  353.1711    8.3900  -44.7357   40.4405  -50.8879   35.5635   11.0292   0.000000   0.000000   0.001331   0.000000  -0.001331  -0.001304  2799.9864   0.000000   0.000000   30.0003  150.9173   20.6441    0.1304    0.4373    0.0680    0.6848  -752.2116   18.0173    7.4049    6.8431    2.9079
2012  362    0   55 362.0382    0.0000    0.0000  308.3963  353.1212    8.3800  -44.7249   39.5801  -50.8826   34.7860   10.9518   0.000000   0.000000   0.001322   0.000000  -0.001322  -0.001295  2799.9851   0.000000   0.000000   30.0004  150.6288   22.9124    0.1304    0.4374    0.0680    0.6856  -770.1143   17.6495    7.4172    6.8387    2.9131
2012  362    1    0 362.0417    0.0000    0.0000  308.3574  353.0714    8.3700  -44.7140   38.7197  -50.8773   34.0085   10.8745   0.000000   0.000000   0.001312   0.000000  -0.001312  -0.001286  2799.9838   0.000000   0.000000   30.0004  150.3121   25.1438    0.1304    0.4375    0.0680    0.6865  -788.7558   17.2816    7.4295    6.8343    2.9182
2012  362    1    5 362.0451    0.0000    0.0000  308.2578  352.9703    8.3500  -44.7125   38.5763  -50.8766   33.8911   10.8493   0.000000   0.000000   0.001309   0.000000  -0.001309  -0.001283  2799.9826   0.000000   0.000000   30.0004  149.9683   27.3364    0.1304    0.4376    0.0680    0.6864  -791.1168   17.2202    7.4127    6.8251    2.9181
2012  362    1   10 362.0486    0.0000    0.0000  308.2188  352.9204    8.3400  -44.7016   38.4328  -50.8713   33.7663   10.8362   0.000000   0.000000   0.001308   0.000000  -0.001308  -0.001281  2799.9813   0.000000   0.000000   30.0004  149.5983   29.4884    0.1304    0.4377    0.0680    0.6876  -798.0772   17.1588    7.4073    6.8205    2.9240
2012  362    1   15 362.0521    0.0000    0.0000  308.1799  352.8706    8.3300  -44.6908   38.2894  -50.8660   33.6415   10.8232   0.000000   0.000000   0.001306   0.000000  -0.001306  -0.001280  2799.9800   0.000000   0.000000   30.0005  149.2031   31.5985    0.1304    0.4378    0.0680    0.6889  -805.1018   17.0974    7.4019    6.8160    2.9299
2012  362    1   20 362.0556    0.0000    0.0000  308.0804  352.7696    8.3100  -44.6892   38.1460  -50.8653   33.5242   10.7979   0.000000   0.000000   0.001303   0.000000  -0.001303  -0.001277  2799.9787   0.000000   0.000000   30.0005  148.7838   33.6657    0.1304    0.4378    0.0680    0.6888  -807.4739   17.0360    7.3851    6.8074    2.9298
2012  362    1   25 362.0590    0.0000    0.0000  308.0414  352.7197    8.3000  -44.6783   38.0026  -50.8600   33.3994   10.7849   0.000000   0.000000   0.001302   0.000000  -0.001302  -0.001275  2799.9774   0.000000   0.000000   30.0005  148.3414   35.6895    0.1304    0.4379    0.0680    0.6900  -814.5945   16.9747    7.3797    6.8029    2.9357
2012  362    1   30 362.0625    0.0000    0.0000  308.0024  352.6699    8.2900  -44.6675   37.8592  -50.8547   33.2746   10.7719   0.000000   0.000000   0.001300   0.000000  -0.001300  -0.001274  2799.9762   0.000000   0.000000   30.0006  147.8769   37.6694    0.1304    0.4381    0.0680    0.6913  -821.7811   16.9133    7.3743    6.7983    2.9417
2012  362    1   35 362.0660    0.0000    0.0000  307.9568  352.5724    8.2700  -44.6156   37.7158  -50.8295   33.2024   10.7272   0.000000   0.000000   0.001295   0.000000  -0.001295  -0.001269  2799.9749   0.000000   0.000000   30.0006  147.3914   39.6055    0.1304    0.4386    0.0680    0.6899  -819.0681   16.8519    7.3550    6.7891    2.9355
2012  362    1   40 362.0694    0.0000    0.0000  307.9650  352.4785    8.2500  -44.5135   37.5724  -50.7798   33.1673   10.6715   0.000000   0.000000   0.001288   0.000000  -0.001288  -0.001262  2799.9736   0.000000   0.000000   30.0006  146.8859   41.4978    0.1304    0.4397    0.0680    0.6885  -815.8971   16.7905    7.3348    6.7800    2.9293
2012  362    1   45 362.0729    0.0000    0.0000  307.9732  352.3845    8.2300  -44.4113   37.4290  -50.7301   33.1319   10.6159   0.000000   0.000000   0.001281   0.000000  -0.001281  -0.001255  2799.9724   0.000000   0.000000   30.0007  146.3614   43.3468    0.1304    0.4407    0.0680    0.6871  -812.7329   16.7290    7.3146    6.7709    2.9231
2012  362    1   50 362.0764    0.0000    0.0000  308.0419  352.3417    8.2200  -44.2999   37.2856  -50.6759   33.0974   10.5643   0.000000   0.000000   0.001275   0.000000  -0.001275  -0.001249  2799.9711   0.000000   0.000000   30.0007  145.8189   45.1531    0.1304    0.4419    0.0680    0.6857  -809.5201   16.6677    7.3043    6.7664    2.9169
2012  362    1   55 362.0799    0.0000    0.0000  308.0501  352.2478    8.2000  -44.1977   37.1422  -50.6262   33.0618   10.5089   0.000000   0.000000   0.001268   0.000000  -0.001268  -0.001243  2799.9699   0.000000   0.000000   30.0007  145.2593   46.9174    0.1304    0.4430    0.0680    0.6843  -806.3691   16.6063    7.2841    6.7573    2.9108
2012  362    2    0 362.0833    0.0000    0.0000  308.0583  352.1539    8.1800  -44.0956   36.9988  -50.5765   33.0260   10.4537   0.000000   0.000000   0.001262   0.000000  -0.001262  -0.001236  2799.9687   0.000000   0.000000   30.0007  144.6835   48.6406    0.1304    0.4440    0.0680    0.6830  -803.2249   16.5448    7.2638    6.7482    2.9046
2012  362    2    5 362.0868    0.0000    0.0000  308.0666  352.0601    8.1600  -43.9935   36.7837  -50.5269   32.9249   10.3922   0.000000   0.000000   0.001254   0.000000  -0.001254  -0.001229  2799.9674   0.000000   0.000000   30.0008  144.0925   50.3237    0.1304    0.4451    0.0680    0.6815  -801.3006   16.4528    7.2453    6.7398    2.8983
2012  362    2   10 362.0903    0.0000    0.0000  308.0749  351.9662    8.1400  -43.8913   36.5686  -50.3681   32.7241   10.3212   0.000000   0.000000   0.001246   0.000000  -0.001246  -0.001220  2799.9662   0.000000   0.000000   30.0008  143.4870   51.9677    0.1304    0.4462    0.0680    0.6800  -801.4087   16.3607    7.2295    6.7308    2.8919
2012  362    2   15 362.0938    0.0000    0.0000  308.0831  351.8724    8.1200  -43.7892   36.3535  -50.3132   32.6178   10.2596   0.000000   0.000000   0.001238   0.000000  -0.001238  -0.001213  2799.9650   0.000000   0.000000   30.0008  142.8680   53.5738    0.1304    0.4473    0.0680    0.6786  -799.6601   16.2686    7.2112    6.7217    2.8857
2012  362    2   20 362.0972    0.0000    0.0000  308.1520  351.8297    8.1100  -43.6777   36.1384  -50.2522   32.5111   10.2018   0.000000   0.000000   0.001231   0.000000  -0.001231  -0.001206  2799.9638   0.000000   0.000000   30.0009  142.2362   55.1431    0.1304    0.4484    0.0680    0.6771  -797.8892   16.1766    7.2029    6.7173    2.8794
2012  362    2   25 362.1007    0.0000    0.0000  308.1603  351.7359    8.0900  -43.5755   35.9232  -50.1948   32.4022   10.1403   0.000000   0.000000   0.001224   0.000000  -0.001224  -0.001199  2799.9626   0.000000   0.000000   30.0009  141.5924   56.6770    0.1304    0.4495    0.0680    0.6757  -796.1986   16.0845    7.1847    6.7083    2.8732
2012  362    2   30 362.1042    0.0000    0.0000  308.1687  351.6421    8.0700  -43.4734   35.7081  -50.1363   32.2921   10.0789   0.000000   0.000000   0.001216   0.000000  -0.001216  -0.001192  2799.9614   0.000000   0.000000   30.0009  140.9372   58.1767    0.1304    0.4506    0.0680    0.6743  -794.5376   15.9925    7.1665    6.6992    2.8669
2012  362    2   35 362.1076    0.0000    0.0000  308.1512  351.5938    8.0600  -43.4426   35.4930  -50.1119   32.1159   10.0465   0.000000   0.000000   0.001212   0.000000  -0.001212  -0.001188  2799.9602   0.000000   0.000000   30.0010  140.2715   59.6434    0.1304    0.4509    0.0680    0.6741  -798.3145   15.9005    7.1613    6.6948    2.8667
2012  362    2   40 362.1111    0.0000    0.0000  308.1188  351.5917    8.0600  -43.4728   35.2779  -50.1178   31.8821   10.0408   0.000000   0.000000   0.001212   0.000000  -0.001212  -0.001187  2799.9590   0.000000   0.000000   30.0010  139.5958   61.0784    0.1304    0.4506    0.0680    0.6753  -807.4414   15.8085    7.1688    6.6955    2.8725
2012  362    2   45 362.1146    0.0000    0.0000  308.0757  351.5889    8.0600  -43.5132   35.0628  -50.1297   31.6417   10.0376   0.000000   0.000000   0.001211   0.000000  -0.001211  -0.001187  2799.9578   0.000000   0.000000   30.0010  138.9108   62.4829    0.1304    0.4502    0.0680    0.6765  -816.8448   15.7166    7.1765    6.6956    2.8783
2012  362    2   50 362.1181    0.0000    0.0000  308.0433  351.5868    8.0600  -43.5435   34.8477  -50.1378   31.4099   10.0321   0.000000   0.000000   0.001211   0.000000  -0.001211  -0.001186  2799.9567   0.000000   0.000000   30.0010  138.2171   63.8583    0.1304    0.4499    0.0680    0.6777  -826.1953   15.6246    7.1840    6.6963    2.8841
2012  362    2   55 362.1215    0.0000    0.0000  308.0001  351.5839    8.0600  -43.5838   34.6326  -50.1522   31.1719   10.0290   0.000000   0.000000   0.001210   0.000000  -0.001210  -0.001186  2799.9555   0.000000   0.000000   30.0011  137.5153   65.2057    0.1304    0.4495    0.0680    0.6789  -835.7539   15.5327    7.1915    6.6970    2.8899
2012  362    3    0 362.1250    0.0000    0.0000  307.9678  351.5818    8.0600  -43.6141   34.4175  -50.1631   30.9424   10.0241   0.000000   0.000000   0.001210   0.000000  -0.001210  -0.001185  2799.9543   0.000000   0.000000   30.0011  136.8059   66.5264    0.1304    0.4491    0.0680    0.6801  -845.3908   15.4407    7.1989    6.6971    2.8957
2012  362    3    5 362.1285    0.0000    0.0000  307.9852  351.6301    8.0700  -43.6449   34.4175  -50.1795   30.9076   10.0444   0.000000   0.000000   0.001212   0.000000  -0.001212  -0.001188  2799.9531   0.000000   0.000000   30.0011  136.0894   67.8215    0.1304    0.4488    0.0680    0.6814  -850.6396   15.4408    7.2109    6.7023    2.9018
2012  362    3   10 362.1319    0.0000    0.0000  307.9528  351.6280    8.0700  -43.6752   34.4175  -50.1966   30.8797   10.0592   0.000000   0.000000   0.001214   0.000000  -0.001214  -0.001189  2799.9519   0.000000   0.000000   30.0012  135.3664   69.0922    0.1304    0.4485    0.0680    0.6827  -855.9276   15.4408    7.2129    6.7023    2.9079
2012  362    3   15 362.1354    0.0000    0.0000  307.9097  351.6252    8.0700  -43.7155   34.4175  -50.2194   30.8453   10.0760   0.000000   0.000000   0.001216   0.000000  -0.001216  -0.001191  2799.9507   0.000000   0.000000   30.0012  134.6373   70.3396    0.1304    0.4481    0.0680    0.6841  -861.2564   15.4408    7.2149    6.7030    2.9139
2012  362    3   20 362.1389    0.0000    0.0000  307.8774  351.6231    8.0700  -43.7457   34.4175  -50.2381   30.8191   10.0908   0.000000   0.000000   0.001218   0.000000  -0.001218  -0.001193  2799.9495   0.000000   0.000000   30.0012  133.9026   71.5649    0.1304    0.4478    0.0680    0.6854  -866.4854   15.4408    7.2167    6.7036    2.9200
2012  362    3   25 362.1424    0.0000    0.0000  307.8343  351.6203    8.0700  -43.7860   34.4175  -50.2626   30.7861   10.1080   0.000000   0.000000   0.001220   0.000000  -0.001220  -0.001195  2799.9483   0.000000   0.000000   30.0012  133.1626   72.7690    0.1304    0.4473    0.0680    0.6867  -871.9000   15.4408    7.2187    6.7036    2.9261
2012  362    3   30 362.1458    0.0000    0.0000  307.8019  351.6182    8.0700  -43.8162   34.4175  -50.2831   30.7613   10.1230   0.000000   0.000000   0.001222   0.000000  -0.001222  -0.001197  2799.9471   0.000000   0.000000   30.0013  132.4179   73.9529    0.1304    0.4470    0.0680    0.6880  -877.1403   15.4408    7.2204    6.7043    2.9321
2012  362    3   35 362.1493    0.0000    0.0000  307.8168  351.5720    8.0600  -43.7552   34.4175  -50.2589   30.8329   10.0884   0.000000   0.000000   0.001217   0.000000  -0.001217  -0.001193  2799.9459   0.000000   0.000000   30.0013  131.6688   75.1178    0.1304    0.4477    0.0680    0.6854  -866.1446   15.4407    7.2062    6.6997    2.9200
2012  362    3   40 362.1528    0.0000    0.0000  307.8184  351.4307    8.0300  -43.6122   34.4175  -50.1939   30.9986   10.0006   0.000000   0.000000   0.001207   0.000000  -0.001207  -0.001182  2799.9448   0.000000   0.000000   30.0013  130.9157   76.2644    0.1304    0.4492    0.0680    0.6788  -839.3151   15.4405    7.1659    6.6867    2.8897
2012  362    3   45 362.1562    0.0000    0.0000  307.8309  351.2901    8.0000  -43.4592   34.4175  -50.1228   31.1773    9.9038   0.000000   0.000000   0.001195   0.000000  -0.001195  -0.001171  2799.9436   0.000000   0.000000   30.0014  130.1589   77.3938    0.1304    0.4508    0.0680    0.6708  -808.2783   15.4404    7.1240    6.6731    2.8533
2012  362    3   50 362.1597    0.0000    0.0000  307.8433  351.1496    7.9700  -43.3063   34.4175  -50.0508   31.3464    9.8156   0.000000   0.000000   0.001184   0.000000  -0.001184  -0.001160  2799.9424   0.000000   0.000000   30.0014  129.3988   78.5069    0.1304    0.4524    0.0680    0.6642  -782.8303   15.4402    7.0833    6.6595    2.8230
