Year  DOY Hour  Min  Dectime     Kdown       Kup     Ldown       Lup     Tsurf        QN        QF        QS        QH        QE       Rain        Irr       Evap         RO      TotCh     SurfCh      State  NWtrState   Drainage       SMD    Zenith   Azimuth   AlbBulk      Fcld       LAI     ustar        Lob        Fc        T2        Q2       U10
2013    1    1    0   1.0417    0.1458    0.0190  344.3369  371.7569   11.7621  -27.2931   40.1513  -42.4037   43.5263   11.7356   0.000000   0.000000   0.017066   0.000000  -0.017066  -0.018433  2799.1643   0.047674   0.001632   29.5899  149.6545   25.5784    0.1304    0.6233    0.0623    0.6985  -679.2077   16.6488   10.5698    8.5317    2.9580
2013    1    2    0   1.0833    0.0200    0.0026  344.8041  372.1097   11.8278  -27.2882   34.9171  -42.4013   39.3097   10.7204   0.000000   0.000000   0.015591   0.000000  -0.015591  -0.016744  2799.1475   0.041718   0.001376   29.5885  143.9915   48.7338    0.1304    0.6244    0.0680    0.6427  -588.6511   14.5770   10.6865    8.5692    2.7100
2013    1    3    0   1.1250    0.0000    0.0000  345.2657  371.2070   11.6375  -25.9413   32.8963  -41.6525   38.5531   10.0544   0.000000   0.000000   0.014622   0.000000  -0.014622  -0.015610  2799.1319   0.036468   0.001178   29.5874  136.1115   66.4663    0.1304    0.6415    0.0680    0.6942  -764.5627   13.7755   10.5758    8.4689    2.9486
2013    1    4    0   1.1667    0.0000    0.0000  344.1915  370.5292   11.5133  -26.3377   31.8030  -41.7368   37.5952    9.6070   0.000000   0.000000   0.013969   0.000000  -0.013969  -0.014826  2799.1171   0.032159   0.001020   29.5864  127.1781   80.5797    0.1304    0.6370    0.0680    0.6835  -752.6504   13.3418   10.4670    8.4012    2.9021
2013    1    5    0   1.2083    0.0000    0.0000  342.4575  370.2531   11.4800  -27.7956   33.9564  -42.7237   38.6811   10.2033   0.000000   0.000000   0.014834   0.000000  -0.014834  -0.015577  2799.1015   0.028231   0.000884   29.5855  117.8851   92.6892    0.1304    0.6194    0.0680    0.7389  -915.4947   14.1941   10.4597    8.3836    3.1516
2013    1    6    0   1.2500    0.0000    0.0000  340.0944  369.8669   11.4325  -29.7725   46.9757  -44.0252   49.6282   11.6002   0.000000   0.000000   0.016862   0.000000  -0.016862  -0.017504  2799.0840   0.024369   0.000763   29.5848  108.6799  103.8723    0.1304    0.5960    0.0680    0.6928  -601.5208   19.3484   10.0645    8.3513    2.9219
2013    1    7    0   1.2917    0.0025    0.0003  337.6084  368.7450   11.2359  -31.1344   77.5530  -44.7822   76.8832   14.3176   0.000000   0.000000   0.020806   0.000000  -0.020806  -0.021353  2799.0627   0.020625   0.000649   29.5841   99.9173  114.8479    0.1304    0.5805    0.0680    0.6926  -395.6859   31.4530    9.1251    8.2345    2.8764
2013    1    8    0   1.3333    1.8583    0.2423  335.8630  367.7900   11.0632  -30.3110  105.7451  -44.2166  103.6160   16.0347   0.000000   0.000000   0.023297   0.000000  -0.023297  -0.023758  2799.0389   0.017714   0.000546   29.5836   91.0596  126.1263    0.1304    0.5734    0.0680    0.6742  -272.8908   42.6134    8.1735    8.1335    2.7490
2013    1    9    0   1.3750   17.4475    2.2752  335.0042  367.9473   11.1070  -17.7708  108.0309  -36.9219  110.5793   16.6028   0.000000   0.000000   0.024119   0.000000  -0.024119  -0.024506  2799.0144   0.014767   0.000458   29.5832   84.7213  138.0691    0.1304    0.5746    0.0680    0.6335  -211.2158   43.5171    7.9005    8.1537    2.5427
2013    1   10    0   1.4167   51.1058    6.6642  334.5117  370.6700   11.6708    8.2833  102.1341  -21.1701  113.5233   18.0642   0.000000   0.000000   0.026242   0.000000  -0.026242  -0.026562  2798.9878   0.011957   0.000378   29.5828   79.3690  150.8763    0.1304    0.5644    0.0680    0.6981  -273.3714   41.1831    8.5807    8.4689    2.8471
