1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80		
Grid	Year	StartDLS	EndDLS	lat	lng	SurfaceArea	Alt	id	ih	imin	Fr_Paved	Fr_Bldgs	Fr_EveTr	Fr_DecTr	Fr_Grass	Fr_Bsoil	Fr_Water	IrrFr_EveTr	IrrFr_DecTr	IrrFr_Grass	H_Bldgs	H_EveTr	H_DecTr	z0	zd	FAI_Bldgs	FAI_EveTr	FAI_DecTr	PopDensDay	PopDensNight	Code_Paved	Code_Bldgs	Code_EveTr	Code_DecTr	Code_Grass	Code_Bsoil	Code_Water	LUMPS_DrRate	LUMPS_Cover	LUMPS_MaxRes	NARP_Trans	CondCode	SnowCode	SnowClearingProfWD	SnowClearingProfWE	AnthropogenicCode	EnergyUseProfWD	EnergyUseProfWE	IrrigationCode	WaterUseProfManuWD	WaterUseProfManuWE	WaterUseProfAutoWD	WaterUseProfAutoWE	FlowChange	RunoffToWater	PipeCapacity	GridConnection1of8	Fraction1of8	GridConnection2of8	Fraction2of8	GridConnection3of8	Fraction3of8	GridConnection4of8	Fraction4of8	GridConnection5of8	Fraction5of8	GridConnection6of8	Fraction6of8	GridConnection7of8	Fraction7of8	GridConnection8of8	Fraction8of8	WithinGridPavedCode	WithinGridBldgsCode	WithinGridEveTrCode	WithinGridDecTrCode	WithinGridGrassCode	WithinGridUnmanBSoilCode	WithinGridWaterCode		
1	2012	85	302	51.51	0.13	3716.008	8	1	0	0	0.2174	0.1524	0.0363	0.145	0.3024	0.1198	0.0267	0	0	0	10	8	8	-999	-999	-999	-999	-999	45.510	50.030	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	BarkingandDagenham
2	2012	85	302	51.51	0.13	8664.267	8	1	0	0	0.2151	0.126	0.0447	0.1787	0.3724	0.0587	0.0044	0	0	0	10	8	8	-999	-999	-999	-999	-999	36.298	41.133	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Barnet
3	2012	85	302	51.51	0.13	7115.656	8	1	0	0	0.1767	0.1168	0.0365	0.146	0.2979	0.0711	0.1551	0	0	0	10	8	8	-999	-999	-999	-999	-999	27.618	32.604	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Bexley
4	2012	85	302	51.51	0.13	4331.473	8	1	0	0	0.2753	0.1997	0.0333	0.1331	0.2502	0.0955	0.0128	0	0	0	10	8	8	-999	-999	-999	-999	-999	64.383	71.850	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Brent
5	2012	85	302	51.51	0.13	15018.358	8	1	0	0	0.147	0.0815	0.0526	0.2104	0.4666	0.0389	0.003	0	0	0	10	8	8	-999	-999	-999	-999	-999	17.931	20.601	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Bromley
6	2012	85	302	51.51	0.13	2183.359	8	1	0	0	0.2804	0.2503	0.0282	0.1127	0.231	0.0889	0.0085	0	0	0	10	8	8	-999	-999	-999	-999	-999	175.925	100.917	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Camden
7	2012	85	302	51.51	0.13	334.551	8	1	0	0	0.2449	0.4509	0.0033	0.0131	0.0328	0.1218	0.1333	0	0	0	10	8	8	-999	-999	-999	-999	-999	1076.293	22.044	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	CityofLondon
8	2012	85	302	51.51	0.13	8634.963	8	1	0	0	0.221	0.136	0.0448	0.1793	0.3602	0.0577	0.0011	0	0	0	10	8	8	-999	-999	-999	-999	-999	35.975	42.082	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Croydon
9	2012	85	302	51.51	0.13	5544.266	8	1	0	0	0.247	0.1765	0.0362	0.1449	0.294	0.094	0.0074	0	0	0	10	8	8	-999	-999	-999	-999	-999	55.193	61.045	33661	33662	33661	33662	33663	33663	33661	0.25	1	10	1	100	33660	99999	99999	33661	33661	33662	99999	99999	99999	99999	99999	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33661	33662	33663	33664	33665	33666	33667	!	Ealing
