"Value","Comments"
0,"Uses observed values of Q* supplied in meteorological forcing file. "
1,"Q* modelled with L↓ observations supplied in meteorological forcing file.
Zenith angle not accounted for in albedo calculation."
2,"Q* modelled with L↓ modelled using cloud cover fraction supplied in meteorological forcing file (Loridan et al. 2011 [L2011]_).
Zenith angle not accounted for in albedo calculation."
3,"Q* modelled with L↓ modelled using air temperature and relative humidity supplied in meteorological forcing file (Loridan et al. 2011 [L2011]_).
Zenith angle not accounted for in albedo calculation."
100,"Q* modelled with L↓ observations supplied in meteorological forcing file.
Zenith angle accounted for in albedo calculation.
SSss_YYYY_NARPOut.txt file produced.
|NotRecmd|"
200,"Q* modelled with L↓ modelled using cloud cover fraction supplied in meteorological forcing file (Loridan et al. 2011 [L2011]_).
Zenith angle accounted for in albedo calculation.
SSss_YYYY_NARPOut.txt file produced.
|NotRecmd|"
300,"Q* modelled with L↓ modelled using air temperature and relative humidity supplied in meteorological forcing file (Loridan et al. 2011 [L2011]_).
Zenith angle accounted for in albedo calculation.
SSss_YYYY_NARPOut.txt file produced.
|NotRecmd|"
