"Value","Comments"
0,"Not used."
1,"Not used."
2,"
- Momentum:

  - unstable: Dyer (1974) [D74]_ modified by Högstrom (1988) [H1988]_
  - stable: Van Ulden and Holtslag (1985) [VUH85]_
- Heat: Dyer (1974) [D74]_ modified by Högstrom (1988) [H1988]_

|NotRecmd|"
3,"
- Momentum: Campbell and Norman (Eq 7.27, Pg97) [CN1988]_

- Heat

  - unstable: Campbell and Norman [CN1988]_
  - stable: Campbell and Norman [CN1988]_

|Recmd|"
4,"
- Momentum: Businger et al. (1971) [B71]_ modified by Högstrom (1988) [H1988]_
- Heat: Businger et al. (1971) [B71]_ modified by Högstrom (1988) [H1988]_

|NotRecmd|"
