1        2       3           4           5               6               7           8               9       10      11      12      13      14          15          16          17          18          19          20          21              22              23              24          25          26          27      28          29          30          31          32                      33                      34              35                  36              37              38              39              40              41              42              43              44              45              46              47          48          49                      50                      51                  52                  53                  54                  55                  56                  57                      58                      59                      60                      61              62              63              64                      65              66                      67              68                      69              70                      71              72                      73              74                      75              76                      77              78                      79              80                      81                      82                      83                      84                      85                          86                      87              88                      89                      90                      91                      92                      93                      94                      95                      96                      97                      98                      99                      100                     101                     102                     103
Grid     Year    StartDLS    EndDLS      lat             lng             Timezone    SurfaceArea     Alt     z       id      ih      imin    Fr_Paved    Fr_Bldgs    Fr_EveTr    Fr_DecTr    Fr_Grass    Fr_Bsoil    Fr_Water    IrrFr_EveTr     IrrFr_DecTr     IrrFr_Grass     H_Bldgs     H_EveTr     H_DecTr     z0      zd          FAI_Bldgs   FAI_EveTr   FAI_DecTr   PopDensDay              PopDensNight            TrafficRate     BuildEnergyUse      Code_Paved      Code_Bldgs      Code_EveTr      Code_DecTr      Code_Grass      Code_Bsoil      Code_Water      LUMPS_DrRate    LUMPS_Cover     LUMPS_MaxRes    NARP_Trans      CondCode    SnowCode    SnowClearingProfWD      SnowClearingProfWE      AnthropogenicCode   EnergyUseProfWD     EnergyUseProfWE     ActivityProfWD      ActivityProfWE      IrrigationCode      WaterUseProfManuWD      WaterUseProfManuWE      WaterUseProfAutoWD      WaterUseProfAutoWE      FlowChange      RunoffToWater   PipeCapacity    GridConnection1of8      Fraction1of8    GridConnection2of8      Fraction2of8    GridConnection3of8      Fraction3of8    GridConnection4of8      Fraction4of8    GridConnection5of8      Fraction5of8    GridConnection6of8      Fraction6of8    GridConnection7of8      Fraction7of8    GridConnection8of8      Fraction8of8    WithinGridPavedCode     WithinGridBldgsCode     WithinGridEveTrCode     WithinGridDecTrCode     WithinGridGrassCode     WithinGridUnmanBSoilCode    WithinGridWaterCode     AreaWall        Fr_ESTMClass_Paved1     Fr_ESTMClass_Paved2     Fr_ESTMClass_Paved3     Code_ESTMClass_Paved1   Code_ESTMClass_Paved2   Code_ESTMClass_Paved3   Fr_ESTMClass_Bldgs1     Fr_ESTMClass_Bldgs2     Fr_ESTMClass_Bldgs3     Fr_ESTMClass_Bldgs4     Fr_ESTMClass_Bldgs5     Code_ESTMClass_Bldgs1   Code_ESTMClass_Bldgs2   Code_ESTMClass_Bldgs3   Code_ESTMClass_Bldgs4   Code_ESTMClass_Bldgs5
140316   2015    85          302         51.5035645      -0.080107563    0           1               0       999     1       0       0       0.424       0.446       0           0.077       0.053       0           0           0               0               0               23.908      16.645      16.645      2.391   16.736      0.308       0.154       0.154       530.50001219            530.50001219            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     9873.231408     0                       1                       0                       806                     807                     808                     0.08140758              0                       0                       0.91859242              0                       801                     802                     803                     804                     805
140787   2015    85          302         51.5007195      -0.085680193    0           1               0       999     1       0       0       0.362       0.27        0           0.091       0.277       0           0           0               0               0               17.484      6.574       6.574       1.748   12.239      0.681       0.072       0.072       213.54037334999998      213.54037334999998      99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     10663.74153     0                       1                       0                       806                     807                     808                     0.064564988             0.935435012             0                       0                       0                       801                     802                     803                     804                     805
140788   2015    85          302         51.50165524     -0.084302268    0           1               0       999     1       0       0       0.503       0.254       0           0.125       0.118       0           0           0               0               0               13.374      7.34        7.34        1.337   9.362       0.312       0.08        0.08        130.84949831            130.84949831            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     6835.254586     0                       1                       0                       806                     807                     808                     0.07667208              0.530553831             0                       0.39277409              0                       801                     802                     803                     804                     805
140789   2015    85          302         51.50259096     -0.082924286    0           1               0       999     1       0       0       0.77        0.174       0           0.01        0.046       0           0           0               0               0               14.568      7.171       7.171       1.457   10.198      0.18        0.011       0.011       166.62237286            166.62237286            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     4585.005831     0                       0.281131621             0.718868379             806                     807                     808                     0.780278553             0                       0                       0.219721447             0                       801                     802                     803                     804                     805
140790   2015    85          302         51.50352667     -0.081546248    0           1               0       999     1       0       0       0.405       0.551       0           0.022       0.022       0           0           0               0               0               16.095      11.66       11.66       1.61    11.267      0.621       0.039       0.039       529.50276219            529.50276219            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     11154.77941     0                       0.857106355             0.142893645             806                     807                     808                     0                       0                       0                       1                       0                       801                     802                     803                     804                     805
140791   2015    85          302         51.50446237     -0.080168154    0           1               0       999     1       0       0       0.513       0.445       0           0.042       0           0           0           0               0               0               39.862      7.439       7.439       3.986   27.903      1.024       0.034       0.034       530.50001219            530.50001219            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     14902.0423      0                       1                       0                       806                     807                     808                     0                       0                       0                       1                       0                       801                     802                     803                     804                     805
141261   2015    85          302         51.50068161     -0.087118781    0           1               0       999     1       0       0       0.256       0.258       0           0.178       0.308       0           0           0               0               0               9.791       8.892       8.892       0.979   6.854       0.19        0.18        0.18        140.24225215            140.24225215            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     6223.95102      0                       1                       0                       806                     807                     808                     0.21862385              0.78137615              0                       0                       0                       801                     802                     803                     804                     805
141262   2015    85          302         51.50161737     -0.085740887    0           1               0       999     1       0       0       0.426       0.298       0           0.09        0.186       0           0           0               0               0               11.168      14.4        14.4        1.117   7.818       0.238       0.058       0.058       127.7672478             127.7672478             99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     6601.05477      0                       1                       0                       806                     807                     808                     0.31808361              0.68191639              0                       0                       0                       801                     802                     803                     804                     805
141263   2015    85          302         51.50255311     -0.084362937    0           1               0       999     1       0       0       0.456       0.272       0           0.051       0.221       0           0           0               0               0               10.26       7.037       7.037       1.026   7.182       0.314       0.061       0.061       131.55062347999998      131.55062347999998      99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     6599.525507     0                       0.805358874             0.194641126             806                     807                     808                     0.651341058             0                       0                       0.348658942             0                       801                     802                     803                     804                     805
141264   2015    85          302         51.50348883     -0.08298493     0           1               0       999     1       0       0       0.925       0.072       0           0           0.003       0           0           0               0               0               14.664      0           0           1.466   10.265      0.055       0           0           337.03350565            337.03350565            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     2549.839508     0                       0.097992884             0.902007116             806                     807                     808                     0                       0                       0                       1                       0                       801                     802                     803                     804                     805
141265   2015    85          302         51.50442454     -0.081606867    0           1               0       999     1       0       0       0.746       0.221       0           0.03        0.003       0           0           0               0               0               22.057      11.637      11.637      2.206   15.44       0.152       0.068       0.068       530.50001219            530.50001219            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     7603.392291     0                       1                       0                       806                     807                     808                     0                       0                       0                       1                       0                       801                     802                     803                     804                     805
141266   2015    85          302         51.50536024     -0.080228748    0           1               0       999     1       0       0       0.578       0.246       0           0.038       0           0           0.138       0               0               0               39.752      7.518       7.518       3.975   27.826      0.565       0.048       0.048       431.03126005499996      431.03126005499996      99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     9827.253062     0                       1                       0                       806                     807                     808                     0                       0                       0                       1                       0                       801                     802                     803                     804                     805
141735   2015    85          302         51.5006437      -0.088557366    0           1               0       999     1       0       0       0.377       0.282       0           0.192       0.149       0           0           0               0               0               7.778       9.917       9.917       0.778   5.445       0.184       0.136       0.136       160.050877              160.050877              99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     4181.566715     0                       1                       0                       806                     807                     808                     0                       1                       0                       0                       0                       801                     802                     803                     804                     805
141736   2015    85          302         51.50157948     -0.087179503    0           1               0       999     1       0       0       0.293       0.232       0           0.267       0.208       0           0           0               0               0               9.484       16.751      16.751      0.948   6.639       0.158       0.362       0.362       169.4442487             169.4442487             99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     5618.803378     0                       1                       0                       806                     807                     808                     0.214159611             0.785840389             0                       0                       0                       801                     802                     803                     804                     805
