"Value","Comments"
0,"`Tiair` in `SSss_YYYY_ESTM_Ts_data_tt.txt` used."
1,"Tibld calculated considering the effect of anthropogenic heat from HVAC"
2,"Tibld calculated without considering the influence of HVAC."
