Year  DOY Hour  Min  Dectime          z      theta          q     theta+         q+     Temp_C         rh     QH_use     QE_use  Press_hPa       avu1      ustar     avdens        lv_J_kg       avcp       gamt       gamq
2013  235    0   55 235.0382  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235    1   55 235.0799  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235    2   55 235.1215  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235    3   55 235.1632  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235    4   55 235.2049  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235    5   55 235.2465  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235    6   55 235.2882  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235    7   55 235.3299  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235    8   55 235.3715  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235    9   55 235.4132  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   10   55 235.4549  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   11   55 235.4965  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   12   55 235.5382  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   13   55 235.5799  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   14   55 235.6215  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   15   55 235.6632  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   16   55 235.7049  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   17   55 235.7465  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   18   55 235.7882  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   19   55 235.8299  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   20   55 235.8715  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   21   55 235.9132  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   22   55 235.9549  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  235   23   55 235.9965  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  236    0   55 236.0382   200.0000   302.9000    18.4600   304.1000    17.4500    30.1371    67.6058    68.8992     5.1602  1004.6750     3.0992     0.5330     1.1544 2440323.951366  1021.9939     0.0059     0.0000
2013  236    1   55 236.0799   200.0000   302.9000    18.4600   304.1000    17.4500    30.1159    67.6710    59.4927     5.0163  1004.4250     4.0200     0.6509     1.1538 2440490.543555  1021.8538     0.0059     0.0000
2013  236    2   55 236.1215   200.0000   302.9000    18.4600   304.1000    17.4500    30.0905    67.7496    54.7016     4.8852  1004.1250     2.9033     0.5145     1.1535 2440515.314372  1021.8531     0.0059     0.0000
2013  236    3   55 236.1632   200.0000   302.9000    18.4600   304.1000    17.4500    30.0650    67.8284    47.7078     4.6740  1003.8250     2.8900     0.4955     1.1533 2440539.736945  1021.8525     0.0059     0.0000
2013  236    4   55 236.2049   200.0000   302.9000    18.4600   304.1000    17.4500    30.0438    67.8941    46.3100     4.6262  1003.5750     2.5008     0.4480     1.1531 2440561.648272  1021.8519     0.0059     0.0000
2013  236    5   55 236.2465   431.1709   302.6901    18.4618   303.2853    17.9829    29.8500    68.6794    56.9948     5.4159  1003.7667     2.5858     0.4607     1.1539 2440658.706185  1021.8493     0.0059     0.0000
2013  236    6   55 236.2882   705.1461   302.7616    18.4897   302.7210    18.7095    29.9399    68.4365    98.5636    15.6707  1003.9833     3.0267     0.5459     1.1540 2440602.050483  1021.8713     0.0059     0.0000
2013  236    7   55 236.3299   785.1937   303.2826    18.5665   303.1893    19.0717    30.4784    66.6385   156.8010    26.7074  1004.1833     3.5208     0.6401     1.1523 2440172.646768  1021.9462     0.0059     0.0000
2013  236    8   55 236.3715   887.8857   303.9454    18.6963   303.7900    19.5363    31.1590    64.5488   209.9980    33.8748  1004.3833     3.6075     0.6725     1.1500 2439583.195784  1022.0711     0.0059     0.0000
2013  236    9   55 236.4132  1006.8254   304.7079    18.8753   304.4858    20.0745    31.9380    62.3428   270.9993    40.6852  1004.5667     3.8050     0.7167     1.1473 2438871.653897  1022.2417     0.0059     0.0000
2013  236   10   55 236.4549  1133.5743   305.5162    19.0904   305.2273    20.6480    32.7466    60.2201   303.7211    44.7314  1004.5583     3.5033     0.6864     1.1443 2438098.603968  1022.4468     0.0059     0.0000
2013  236   11   55 236.4965  1253.0979   306.2754    19.3110   305.9265    21.1888    33.4709    58.4452   304.0722    44.6533  1004.1417     3.7883     0.7216     1.1411 2437382.819038  1022.6570     0.0059     0.0000
2013  236   12   55 236.5382  1357.9845   306.9397    19.5153   306.5401    21.6634    34.0929    57.0006   282.1119    41.2368  1003.6417     3.3275     0.6623     1.1382 2436757.881501  1022.8518     0.0059     0.0000
2013  236   13   55 236.5799  1450.3621   307.5237    19.7014   307.0805    22.0814    34.6345    55.7938   275.9898    39.9257  1003.1417     2.9350     0.6064     1.1356 2436213.501252  1023.0281     0.0059     0.0000
2013  236   14   55 236.6215  1536.6333   308.0683    19.8803   307.5852    22.4717    35.1443    54.6959   272.0086    40.9125  1002.7333     2.4308     0.5364     1.1332 2435701.120408  1023.1970     0.0059     0.0000
2013  236   15   55 236.6632  1612.3367   308.5455    20.0414   308.0281    22.8143    35.5959    53.7525   235.3388    36.0525  1002.4333     2.3375     0.5078     1.1312 2435239.922725  1023.3507     0.0059     0.0000
2013  236   16   55 236.7049  1674.5649   308.9378    20.1740   308.3921    23.0958    35.9754    52.9716   205.1436    26.3146  1002.2833     2.7733     0.5519     1.1296 2434857.916658  1023.4777     0.0059     0.0000
2013  236   17   55 236.7465  1728.6101   309.2795    20.2838   308.7083    23.3404    36.3592    52.1669   189.0448    13.0468  1002.7667     3.4433     0.6359     1.1287 2434488.798411  1023.5849     0.0059     0.0000
2013  236   18   55 236.7882   851.2677   305.6492    19.2474   306.1040    19.9692    32.7931    61.0837   165.4385     6.3195  1003.5500     3.0108     0.5812     1.1407 2437389.167355  1022.7530     0.0059     0.0000
2013  236   19   55 236.8299   200.0000   302.9000    18.4600   304.1000    17.4500    30.1293    67.6296   144.1977     7.1864  1004.5833     2.2158     0.4652     1.1538 2440486.595604  1021.8539     0.0059     0.0000
2013  236   20   55 236.8715   200.0000   302.9000    18.4600   304.1000    17.4500    30.1901    67.4424   123.3332     6.7337  1005.3000     2.2208     0.4523     1.1545 2440424.512831  1021.8557     0.0059     0.0000
2013  236   21   55 236.9132   200.0000   302.9000    18.4600   304.1000    17.4500    30.2127    67.3729   106.3734     6.3251  1005.5667     1.8908     0.4046     1.1547 2440400.415542  1021.8564     0.0059     0.0000
2013  236   22   55 236.9549   200.0000   302.9000    18.4600   304.1000    17.4500    30.2141    67.3686    90.3692     5.9117  1005.5833     1.6492     0.3602     1.1547 2440397.784508  1021.8564     0.0059     0.0000
2013  236   23   55 236.9965   200.0000   302.9000    18.4600   304.1000    17.4500    30.1986    67.4163    74.1095     5.4908  1005.4000     1.7983     0.3679     1.1546 2440411.420963  1021.8560     0.0059     0.0000
2013  237    0   55 237.0382  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237    1   55 237.0799  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237    2   55 237.1215  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237    3   55 237.1632  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237    4   55 237.2049  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237    5   55 237.2465  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237    6   55 237.2882  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237    7   55 237.3299  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237    8   55 237.3715  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237    9   55 237.4132  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237   10   55 237.4549  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237   11   55 237.4965  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237   12   55 237.5382  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237   13   55 237.5799  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237   14   55 237.6215  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237   15   55 237.6632  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237   16   55 237.7049  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237   17   55 237.7465  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237   18   55 237.7882  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
2013  237   19   55 237.8299  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000    -999.000000  -999.0000  -999.0000  -999.0000
