"Referencing Table","Requirement","Comment"
"`SUEWS_NonVeg.txt`","`O`","Limit of snow water equivalent when the surface is fully covered with snow. Not needed if `SnowUse` = 0 in `RunControl.nml` .

Example values:

- 190: Paved Järvi et al. (2014) [Leena2014]_

- 190: Bldgs Järvi et al. (2014) [Leena2014]_

- 190: BSoil Järvi et al. (2014) [Leena2014]_
"
"`SUEWS_Veg.txt`","`O`","Limit of snow water equivalent when the surface is fully covered with snow. Not needed if `SnowUse` = 0 in `RunControl.nml` .

Example values:

- 190: EveTr Järvi et al. (2014) [Leena2014]_

- 190: DecTr Järvi et al. (2014) [Leena2014]_

- 190: Grass Järvi et al. (2014) [Leena2014]_
"
