"No.","Column Name","Use","Description"
1,"`iy`","`MU`","Year [YYYY]"
2,"`id`","`MU`","Day of year [DOY]"
3,"`it`","`MU`","Hour [H]"
4,"`imin`","`MU`","Minute [M]"
5,"`qn`","`O`","Required if `NetRadiationMethod` = 1."
6,"`qh`","`O`","Sensible heat flux [W |m^-2|]"
7,"`qe`","`O`","Latent heat flux [W |m^-2|]"
8,"`qs`","`O`","Storage heat flux [W |m^-2|]"
9,"`qf`","`O`","Anthropogenic heat flux [W |m^-2|]"
10,"`U`","`MU`","Height of the wind speed measurement (z) is needed in `SUEWS_SiteSelect.txt`."
11,"`RH`","`MU`","Relative Humidity [%]"
12,"`Tair`","`MU`","Air temperature [°C]"
13,"`pres`","`MU`","Barometric pressure [kPa]"
14,"`rain`","`MU`","Rainfall [mm]"
15,"`kdown`","`MU`","Must be > 0 W |m^-2| ."
16,"`snow`","`O`","Required if `SnowUse` = 1"
17,"`ldown`","`O`","Incoming longwave radiation [W |m^-2|]"
18,"`fcld`","`O`","Cloud fraction [tenths]"
19,"`Wuh`","`O`","External water use [ |m^3|]"
20,"`xsmd`","`O`","Observed soil moisture [ 3 |m^-3| or kg |kg^-1|]"
21,"`lai`","`O`","Observed leaf area index [|m^-2| |m^-2|]"
22,"`kdiff`","`O`","|Recmd| if SOLWEIGUse = 1"
23,"`kdir`","`O`","|Recmd| if SOLWEIGUse = 1"
24,"`wdir`","`O`","|NotAvail|"
